2023 07 26    07 37 17.44        1000        5000               -402.66188    -303.29122     288.65491     288.22618                    3.79867       3.03040       5.07622   14812.63650                    3.84835       1.51916       2.49030   15642.97805  
2023 07 26    07 37 24.00        1000        5000               -402.02102    -301.53942     288.65609     288.23978                    3.79899       3.03034       5.07623   14811.89016                    3.84923       1.51885       2.49036   15633.84068  
2023 07 26    07 37 30.56        1000        5000               -398.15550    -299.74597     288.65840     288.23582                    3.80092       3.03019       5.07617   14810.44254                    3.85013       1.51893       2.49033   15636.50195  
2023 07 26    07 37 37.13        1000        5000               -394.23302    -297.43257     288.65841     288.24431                    3.80288       3.03017       5.07614   14810.43045                    3.85128       1.51867       2.49026   15630.79675  
2023 07 26    07 37 43.69        1000        5000               -392.56067    -295.39641     288.66261     288.24956                    3.80372       3.03001       5.07624   14807.79166                    3.85230       1.51856       2.49030   15627.27183  
2023 07 26    07 37 50.25        1000        5000               -393.04488    -295.18721     288.66363     288.25346                    3.80348       3.02988       5.07610   14807.14692                    3.85241       1.51841       2.49022   15624.65338  
2023 07 26    07 37 56.82        1000        5000               -389.21802    -290.31059     288.66886     288.26038                    3.80539       3.02962       5.07612   14803.86279                    3.85484       1.51829       2.49031   15620.01312  
2023 07 26    07 38 03.39        1000        5000               -384.77980    -288.97922     288.67281     288.27034                    3.80761       3.02947       5.07622   14801.37715                    3.85551       1.51799       2.49023   15613.33217  
2023 07 26    07 38 09.95        1000        5000               -385.57324    -287.92001     288.67806     288.28177                    3.80721       3.02917       5.07618   14798.07513                    3.85604       1.51774       2.49029   15605.67193  
2023 07 26    07 38 16.52        1000        5000               -384.31085    -284.76168     288.68509     288.29594                    3.80784       3.02882       5.07619   14793.65937                    3.85762       1.51736       2.49026   15596.17359  
2023 07 26    07 38 23.08        1000        5000               -380.62233    -282.84231     288.69102     288.31343                    3.80969       3.02853       5.07623   14789.92932                    3.85858       1.51698       2.49037   15584.46837  
2023 07 26    07 38 29.64        1000        5000               -376.87583    -279.22800     288.69908     288.30778                    3.81156       3.02808       5.07618   14784.86840                    3.86039       1.51707       2.49028   15588.24489  
2023 07 26    07 38 36.21        1000        5000               -375.21264    -277.61938     288.70222     288.31733                    3.81239       3.02791       5.07617   14782.89768                    3.86119       1.51681       2.49025   15581.85334  
2023 07 26    07 38 42.77        1000        5000               -373.16087    -274.79720     288.71165     288.32480                    3.81342       3.02747       5.07624   14776.97777                    3.86260       1.51661       2.49025   15576.86227  
2023 07 26    07 38 49.33        1000        5000               -371.25557    -272.60566     288.71280     288.33408                    3.81437       3.02743       5.07627   14776.25578                    3.86370       1.51642       2.49031   15570.65622  
2023 07 26    07 38 55.89        1000        5000               -368.26183    -270.17141     288.71690     288.33908                    3.81587       3.02718       5.07622   14773.68057                    3.86491       1.51623       2.49022   15567.31214  
2023 07 26    07 39 02.46        1000        5000               -364.78388    -267.16744     288.72314     288.33596                    3.81761       3.02685       5.07620   14769.76652                    3.86642       1.51634       2.49026   15569.39835  
2023 07 26    07 39 09.01        1000        5000               -361.18794    -262.76609     288.71991     288.34518                    3.81941       3.02700       5.07617   14771.79458                    3.86862       1.51615       2.49033   15563.23207  
2023 07 26    07 39 15.57        1000        5000               -357.41397    -258.23475     288.72040     288.34327                    3.82129       3.02699       5.07620   14771.48592                    3.87088       1.51616       2.49028   15564.50941  
2023 07 26    07 39 22.13        1000        5000               -356.29196    -256.05439     288.71851     288.34169                    3.82185       3.02711       5.07623   14772.67107                    3.87197       1.51621       2.49029   15565.56857  
2023 07 26    07 39 28.69        1000        5000               -356.45675    -256.26054     288.71690     288.34208                    3.82177       3.02718       5.07621   14773.68008                    3.87187       1.51618       2.49025   15565.30965  
2023 07 26    07 39 35.26        1000        5000               -356.91044    -257.12578     288.72204     288.34245                    3.82154       3.02690       5.07619   14770.46108                    3.87144       1.51619       2.49028   15565.06048  
2023 07 26    07 39 41.83        1000        5000               -353.84854    -257.05368     288.72031     288.35643                    3.82308       3.02698       5.07618   14771.54420                    3.87147       1.51588       2.49036   15555.71984  
2023 07 26    07 39 48.39        1000        5000               -353.22192    -255.23891     288.72292     288.34630                    3.82339       3.02686       5.07620   14769.90405                    3.87238       1.51611       2.49033   15562.48656  
2023 07 26    07 39 54.95        1000        5000               -352.81299    -253.38859     288.72782     288.35918                    3.82359       3.02659       5.07618   14766.83486                    3.87331       1.51575       2.49026   15553.88454  
2023 07 26    07 40 01.51        1000        5000               -351.07453    -251.87747     288.72810     288.36404                    3.82446       3.02660       5.07621   14766.65938                    3.87406       1.51567       2.49034   15550.63724  
2023 07 26    07 40 08.07        1000        5000               -350.24751    -251.71194     288.72857     288.36397                    3.82488       3.02662       5.07629   14766.36204                    3.87414       1.51559       2.49021   15550.68425  
2023 07 26    07 40 14.63        1000        5000               -348.06858    -250.49329     288.73185     288.37359                    3.82597       3.02638       5.07617   14764.30902                    3.87475       1.51542       2.49032   15544.26909  
2023 07 26    07 40 21.19        1000        5000               -345.54684    -250.88630     288.73207     288.37221                    3.82723       3.02638       5.07619   14764.16983                    3.87456       1.51544       2.49030   15545.18478  
2023 07 26    07 40 27.76        1000        5000               -343.93349    -250.32572     288.73926     288.37014                    3.82803       3.02603       5.07623   14759.66108                    3.87484       1.51552       2.49034   15546.56710  
2023 07 26    07 40 34.32        1000        5000               -344.98837    -249.96419     288.73573     288.38254                    3.82751       3.02620       5.07622   14761.87254                    3.87502       1.51513       2.49023   15538.29503  
